chrom,start,end
J02459.1,4000,4094
J02459.1,4000,4099
J02459.1,4000,4102
J02459.1,4000,4103
J02459.1,4000,4107
J02459.1,4000,4109
J02459.1,4000,4111
J02459.1,4000,4112
J02459.1,4000,4114
J02459.1,4000,4115
J02459.1,4000,4116
J02459.1,4000,4117
J02459.1,4000,4118
J02459.1,4000,4126
J02459.1,4000,4127
J02459.1,4000,4128
J02459.1,4000,4131
J02459.1,4000,4132
J02459.1,4000,4134
J02459.1,4000,4136
J02459.1,4000,4139
J02459.1,4000,4142
J02459.1,4000,4143
J02459.1,4000,4144
J02459.1,4000,4145
J02459.1,4000,4146
J02459.1,4000,4148
J02459.1,4000,4149
J02459.1,4000,4151
J02459.1,4000,4154
J02459.1,4000,4156
J02459.1,4000,4158
J02459.1,4000,4160
J02459.1,4000,4161
J02459.1,4000,4162
J02459.1,4000,4163
J02459.1,4000,4164
J02459.1,4000,4167
J02459.1,4000,4168
J02459.1,4000,4170
J02459.1,4000,4172
J02459.1,4000,4173
J02459.1,4000,4174
J02459.1,4000,4175
J02459.1,4000,4177
J02459.1,4000,4178
J02459.1,4000,4179
J02459.1,4000,4180
J02459.1,4000,4181
J02459.1,4000,4182
J02459.1,4000,4183
J02459.1,4000,4185
J02459.1,4000,4186
J02459.1,4000,4187
J02459.1,4000,4188
J02459.1,4000,4189
J02459.1,4000,4190
J02459.1,4000,4192
J02459.1,4000,4195
J02459.1,4000,4196
J02459.1,4000,4197
J02459.1,4000,4198
J02459.1,4000,4200
J02459.1,4000,4202
J02459.1,4000,4203
J02459.1,4000,4204
J02459.1,4000,4205
J02459.1,4000,4206
J02459.1,4000,4207
J02459.1,4000,4208
J02459.1,4000,4209
J02459.1,4000,4211
J02459.1,4000,4212
J02459.1,4000,4213
J02459.1,4000,4216
J02459.1,4000,4217
J02459.1,4000,4218
J02459.1,4000,4219
J02459.1,4000,4220
J02459.1,4000,4221
J02459.1,4000,4222
J02459.1,4000,4226
J02459.1,4000,4227
J02459.1,4000,4228
J02459.1,4000,4229
J02459.1,4000,4232
J02459.1,4001,4085
J02459.1,4001,4087
